Category,Food,Amount
fruit,banana,95.23809523809524
fruit,banana,9.354536950420954
fruit,banana,18.281535648994517
fruit,banana,52.083333333333336
fruit,apple,181.8181818181818
fruit,apple,285.7142857142857
fruit,apple,357.14285714285717
fruit,apple,181.8181818181818
fruit,apple,204.0816326530612
fruit,apple,117.6470588235294
fruit,apple,181.8181818181818
fruit,apple,30.48780487804878
fruit,apple,666.6666666666666
fruit,apple,90.9090909090909
fruit,apple,294.11764705882354
fruit,apple,666.6666666666666
fruit,apple,205.3388090349076
fruit,apple,666.6666666666666
fruit,apple,357.14285714285717
fruit,apple,370.3703703703703
fruit,apple,357.14285714285717
fruit,apple,294.11764705882354
fruit,apple,263.1578947368421
fruit,apple,230.94688221709006
fruit,apple,250.0
fruit,apple,404.8582995951417
fruit,apple,227.27272727272725
fruit,apple,250.0
fruit,apple,404.8582995951417
fruit,orange,336.70033670033666
fruit,orange,168.63406408094437
fruit,orange,400.0
fruit,orange,210.52631578947367
fruit,orange,210.52631578947367
fruit,orange,230.94688221709006
fruit,orange,230.94688221709006
fruit,orange,285.7142857142857
fruit,orange,90.9090909090909
fruit,orange,404.8582995951417
fruit,orange,294.11764705882354
fruit,orange,370.3703703703703
fruit,orange,153.84615384615387
fruit,orange,153.84615384615387
fruit,orange,200.0
fruit,orange,157.9778830963665
fruit,orange,370.3703703703703
fruit,orange,357.14285714285717
fruit,orange,333.3333333333333
fruit,orange,307.69230769230774
fruit,orange,261.0966057441253
fruit,orange,333.3333333333333
fruit,orange,230.94688221709006
fruit,orange,76.74597083653109
fruit,orange,200.0
fruit,orange,416.6666666666667
fruit,orange,93.02325581395348
fruit,orange,65.359477124183
fruit,orange,88.88888888888889
fruit,orange,235.2941176470588
fruit,orange,166.66666666666666
fruit,orange,285.7142857142857
fruit,orange,200.0
fruit,grape,57.14285714285714
fruit,grape,67.79661016949153
fruit,grape,72.72727272727272
fruit,grape,312.5
fruit,grape,72.72727272727272
fruit,grape,111.1111111111111
fruit,grape,40.0
fruit,grape,38.610038610038615
fruit,grape,18.656716417910445
fruit,grape,50.63291139240506
fruit,grape,30.03003003003003
fruit,grape,312.5
fruit,grape,56.81818181818182
fruit,grape,17.094017094017094
fruit,grape,72.72727272727272
fruit,grape,37.453183520599254
fruit,grape,73.52941176470588
fruit,grape,7.199424046076314
fruit,grape,55.55555555555556
fruit,grape,72.46376811594203
fruit,grape,10.0
fruit,grape,66.66666666666667
